Asset,Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_USD,Size_USD,Reason,Leverage,Duration,equity,returns
ZILUSDT:USDT,Short,2025-03-07 00:00:00,2025-03-07 01:15:00,0.012754439999999999,0.01259514,5.935752644829034,517.1742277131306,Trailing_Win,5,0 days 01:15:00,2135.5968091363675,0.002787181850715692
FILUSDT:USDT,Short,2025-03-09 10:00:00,2025-03-09 19:30:00,2.995996,2.8146180000000003,31.303886895093765,526.2962427649022,Trailing_Win,5,0 days 09:30:00,2166.900696031461,0.014658144627848868
FILUSDT:USDT,Short,2025-03-10 18:00:00,2025-03-10 19:00:00,2.7425040000000003,2.6573040000000003,16.038640269827667,533.9906404279844,Trailing_Win,5,0 days 01:00:00,2182.9393363012887,0.007401649876803917
HBARUSDT:USDT,Short,2025-03-11 00:00:00,2025-03-11 00:45:00,0.19018886,0.18432792,16.020687963991204,537.8668028353344,Trailing_Win,5,0 days 00:45:00,2198.9600242652796,0.007339044057511845
FILUSDT:USDT,Short,2025-03-11 00:00:00,2025-03-11 01:30:00,2.636716,2.59017,8.947611593991843,537.8668028353344,Trailing_Win,5,0 days 01:30:00,2207.907635859272,0.004069019670779106
FILUSDT:USDT,Short,2025-04-06 13:00:00,2025-04-06 21:00:00,2.61476,2.39979,44.12273119733885,543.8399443234124,Trailing_Win,5,0 days 08:00:00,2252.030367056611,0.01998395697389177
AXSUSDT:USDT,Short,2025-04-07 06:00:00,2025-04-07 07:00:00,2.373244,2.276544,22.02583415334856,554.7346671366663,Trailing_Win,5,0 days 01:00:00,2274.056201209959,0.009780433903356256
ZILUSDT:USDT,Short,2025-04-07 06:00:00,2025-04-07 07:00:00,0.00971054,0.00942882,15.523008751387577,554.7346671366663,Trailing_Win,5,0 days 01:00:00,2289.579209961347,0.006826132416221098
FILUSDT:USDT,Short,2025-04-07 06:00:00,2025-04-07 07:00:00,2.317356,2.170332,34.60505536572844,554.7346671366663,Trailing_Win,5,0 days 01:00:00,2324.184265327075,0.015114155131725093
FILUSDT:USDT,Long,2025-04-09 17:00:00,2025-04-09 20:15:00,2.355702,2.491008,32.26961747410568,572.35709070393,Trailing_Win,5,0 days 03:15:00,2356.453882801181,0.013884276713991284
AXSUSDT:USDT,Short,2025-04-12 07:00:00,2025-04-12 08:00:00,2.403184,2.30961,21.991836673399416,580.2814057997805,Trailing_Win,5,0 days 01:00:00,2378.44571947458,0.009332597948938703
FILUSDT:USDT,Short,2025-04-27 01:00:00,2025-04-27 14:15:00,2.8592700000000004,2.7304500000000003,25.7728307760791,585.6342946166803,Trailing_Win,5,0 days 13:15:00,2404.218550250659,0.010835997040021805
FILUSDT:USDT,Short,2025-05-23 11:00:00,2025-05-23 13:00:00,3.0588699999999998,2.954898,19.50788204587005,591.931093737046,Trailing_Win,5,0 days 02:00:00,2423.7264322965293,0.008114021931923121
AXSUSDT:USDT,Short,2025-05-30 00:00:00,2025-05-30 01:00:00,2.80937,2.698386,22.950791040999935,596.6600814750793,Trailing_Win,5,0 days 01:00:00,2446.6772233375295,0.009469216795747748
FILUSDT:USDT,Short,2025-05-30 00:00:00,2025-05-30 01:00:00,2.76945,2.663316,22.246357545197643,596.6600814750793,Trailing_Win,5,0 days 01:00:00,2468.923580882727,0.009092477476391858
ZILUSDT:USDT,Short,2025-05-30 00:00:00,2025-05-30 01:15:00,0.012215519999999999,0.01195386,12.171192195124664,596.6600814750793,Trailing_Win,5,0 days 01:15:00,2481.0947730778516,0.0049297565503314544
FILUSDT:USDT,Short,2025-06-05 19:00:00,2025-06-05 21:30:00,2.4570760000000003,2.366724,21.81841002201624,610.5546716093036,Trailing_Win,5,0 days 02:30:00,2502.9131830998676,0.008793864006633623
ZILUSDT:USDT,Short,2025-06-05 20:00:00,2025-06-05 21:30:00,0.01104786,0.01084164,10.837865043603404,614.1340789232513,Trailing_Win,5,0 days 01:30:00,2513.751048143471,0.00433010026747338
FILUSDT:USDT,Short,2025-06-21 21:00:00,2025-06-22 00:30:00,2.2285340000000002,2.211414,4.127593525599419,618.4125681880753,Trailing_Win,5,0 days 03:30:00,2517.878641669071,0.0016420056905190883
FILUSDT:USDT,Long,2025-07-02 16:00:00,2025-07-02 23:15:00,2.355702,2.381228,6.084522868741064,619.2898634274281,Trailing_Win,5,0 days 07:15:00,2523.9631645378117,0.0024165274561078753
HBARUSDT:USDT,Short,2025-07-21 19:00:00,2025-07-21 20:15:00,0.27892104,0.2707404,17.564731849166968,620.6561716787566,Trailing_Win,5,0 days 01:15:00,2541.5278963869787,0.006959187081632123
AXSUSDT:USDT,Short,2025-08-14 12:00:00,2025-08-14 13:00:00,2.551886,2.4709320000000004,19.17886662750075,624.8921905981286,Trailing_Win,5,0 days 01:00:00,2560.7067630144793,0.0075461955994129415
FILUSDT:USDT,Short,2025-08-14 12:00:00,2025-08-14 22:45:00,2.651686,2.501994,34.616015078671424,624.8921905981286,Trailing_Win,5,0 days 10:45:00,2595.322778093151,0.013518148809011477
